incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,statistical_murder_flag,loc_classfctn_desc,loc_of_occur_desc
279800218,2024-01-01T00:00:00.000,08:15:00,BROOKLYN,75,0,(null),45-64,M,BLACK,45-64,M,BLACK,1011437,186306,40.678004,-73.901983,POINT (-73.901983 40.678004),N,STREET,OUTSIDE
282117921,2024-02-12T00:00:00.000,16:32:00,BRONX,44,1,(null),<18,M,BLACK,<18,M,BLACK,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244),Y,TRANSIT,INSIDE
287072884,2024-05-18T00:00:00.000,00:07:00,BRONX,48,0,(null),(null),(null),(null),25-44,M,BLACK,1014022,251201,40.856114,-73.892376,POINT (-73.892376 40.856114),N,STREET,OUTSIDE
279863277,2024-01-02T00:00:00.000,21:00:00,BROOKLYN,69,2,MULTI DWELL - PUBLIC HOUS,25-44,M,BLACK,<18,M,BLACK,1016320,170575,40.63481,-73.884452,POINT (-73.884452 40.63481),Y,HOUSING,OUTSIDE
287262614,2024-05-21T00:00:00.000,12:25:00,BROOKLYN,70,0,(null),18-24,M,BLACK,25-44,M,BLACK,999225,169441,40.631743,-73.946049,POINT (-73.946049 40.631743),N,STREET,OUTSIDE
285203894,2024-04-11T00:00:00.000,14:54:00,BROOKLYN,70,0,(null),18-24,M,BLACK,18-24,M,BLACK,991549,169019,,,,N,STREET,OUTSIDE
283517634,2024-03-10T00:00:00.000,20:55:00,BRONX,40,0,(null),25-44,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1011156,236890,40.816844,-73.902794,POINT (-73.902794 40.816844),N,STREET,OUTSIDE
283767688,2024-03-14T00:00:00.000,18:12:00,BRONX,41,0,(null),25-44,M,BLACK,25-44,F,BLACK,1013033,238142,40.820276,-73.896006,POINT (-73.896006 40.820276),N,STREET,OUTSIDE
283815379,2024-03-15T00:00:00.000,03:00:00,MANHATTAN,25,0,(null),25-44,M,BLACK,25-44,M,BLACK,1001643,232461,40.804711,-73.937173,POINT (-73.937173 40.804711),N,STREET,OUTSIDE
286764294,2024-05-12T00:00:00.000,00:12:00,BROOKLYN,73,0,(null),(null),(null),(null),18-24,M,BLACK,1008238,178970,40.657877,-73.91354,POINT (-73.91354 40.657877),Y,STREET,OUTSIDE
288294532,2024-06-10T00:00:00.000,15:50:00,QUEENS,103,0,(null),<18,M,BLACK,<18,M,BLACK,1038711,196273,40.70523316920576,-73.80357343352262,POINT (-73.80357343352262 40.70523316920576),N,PLAYGROUND,OUTSIDE
287987381,2024-06-04T00:00:00.000,19:00:00,BROOKLYN,75,0,MULTI DWELL - APT BUILD,(null),(null),(null),18-24,M,BLACK,1022337,183744,40.670931,-73.862701,POINT (-73.862701 40.670931),N,DWELLING,INSIDE
285315562,2024-04-13T00:00:00.000,18:35:00,BROOKLYN,60,0,(null),(null),(null),(null),<18,M,WHITE HISPANIC,995101,151225,40.58174708197374,-73.96093567838396,POINT (-73.96093567838396 40.58174708197374),N,STREET,OUTSIDE
282117921,2024-02-12T00:00:00.000,16:32:00,BRONX,44,1,(null),<18,M,BLACK,25-44,M,BLACK,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244),Y,TRANSIT,INSIDE
286728299,2024-05-11T00:00:00.000,08:50:00,MANHATTAN,28,0,(null),25-44,M,WHITE HISPANIC,25-44,M,BLACK,998811,233547,40.807698,-73.947398,POINT (-73.947398 40.807698),N,STREET,OUTSIDE
287788776,2024-06-01T00:00:00.000,01:16:00,QUEENS,100,0,PVT HOUSE,(null),(null),(null),25-44,M,BLACK,1041576,156533,40.596139,-73.793574,POINT (-73.793574 40.596139),N,STREET,OUTSIDE
286656749,2024-05-09T00:00:00.000,22:48:00,BRONX,40,0,(null),(null),(null),(null),25-44,M,BLACK,1007107,238501,40.82127615554319,-73.9174170851279,POINT (-73.9174170851279 40.82127615554319),N,STREET,OUTSIDE
281534580,2024-02-01T00:00:00.000,20:57:00,STATEN ISLAND,120,0,PVT HOUSE,(null),(null),(null),25-44,M,BLACK,959876,172911,40.641246,-74.087825,POINT (-74.087825 40.641246),N,STREET,OUTSIDE
288867607,2024-06-20T00:00:00.000,19:43:00,BRONX,46,0,(null),25-44,M,WHITE HISPANIC,18-24,M,BLACK,1009100,247458,40.845855,-73.910181,POINT (-73.910181 40.845855),N,STREET,OUTSIDE
282033298,2024-02-10T00:00:00.000,05:10:00,BRONX,52,0,MULTI DWELL - APT BUILD,25-44,M,BLACK HISPANIC,<18,M,BLACK,1015796,257648,40.873803,-73.885931,POINT (-73.885931 40.873803),N,DWELLING,INSIDE
286460097,2024-05-06T00:00:00.000,14:35:00,MANHATTAN,32,0,(null),45-64,M,BLACK,45-64,M,BLACK,1001469,241128,40.82849931186048,-73.93778057105277,POINT (-73.93778057105277 40.82849931186048),N,STREET,OUTSIDE
279799857,2024-01-01T00:00:00.000,11:15:00,STATEN ISLAND,120,0,PVT HOUSE,18-24,M,BLACK,18-24,M,BLACK,955153,162658,40.613088,-74.104798,POINT (-74.104798 40.613088),N,DWELLING,INSIDE
285938066,2024-04-25T00:00:00.000,15:38:00,BRONX,47,0,(null),25-44,M,WHITE HISPANIC,25-44,M,BLACK,1021915,260571,40.881802,-73.863791,POINT (-73.863791 40.881802),N,STREET,OUTSIDE
287507794,2024-05-24T00:00:00.000,00:14:00,BRONX,52,0,(null),18-24,M,WHITE HISPANIC,25-44,M,BLACK,1010619,252255,40.859017,-73.904672,POINT (-73.904672 40.859017),N,STREET,OUTSIDE
283128966,2024-03-02T00:00:00.000,03:25:00,QUEENS,114,0,BAR/NIGHT CLUB,(null),(null),(null),25-44,M,BLACK,1006506,214760,40.756115,-73.919666,POINT (-73.919666 40.756115),N,(null),INSIDE
285449093,2024-04-16T00:00:00.000,18:10:00,BRONX,44,0,(null),25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1007885,246405,40.84297,-73.914577,POINT (-73.914577 40.84297),N,STREET,OUTSIDE
280107186,2024-01-06T00:00:00.000,13:32:00,MANHATTAN,14,0,(null),25-44,M,BLACK,25-44,M,BLACK,986962,214020,40.754112,-73.99021,POINT (-73.99021 40.754112),Y,COMMERCIAL,INSIDE
287498826,2024-05-25T00:00:00.000,22:50:00,BROOKLYN,77,0,(null),(null),(null),(null),25-44,M,BLACK,995310,186793,40.679375,-73.960124,POINT (-73.960124 40.679375),N,STREET,OUTSIDE
282041194,2024-02-10T00:00:00.000,21:25:00,BRONX,44,0,(null),18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1007536,244566,40.837924,-73.915846,POINT (-73.915846 40.837924),N,STREET,OUTSIDE
280690342,2024-01-17T00:00:00.000,03:50:00,BRONX,49,0,(null),(null),(null),(null),18-24,M,ASIAN / PACIFIC ISLANDER,1027434,251387,,,,N,STREET,OUTSIDE
285380962,2024-04-15T00:00:00.000,04:03:00,BRONX,40,0,(null),25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1006074,236931,40.816972,-73.921152,POINT (-73.921152 40.816972),Y,VEHICLE,OUTSIDE
